"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"7","1","Bench Press","92.0","91.0","2025-05-27"," ","","5","60.0","5","70.0","5","78.0"
"7","1","Squat","124.0","124.0","2025-05-29"," ","","5","80.0","5","96.0","5","106.0"
"7","1","Military Press","62.0","65.0","2025-05-30"," ","","5","40.0","5","46.0","5","56.0"
"7","2","Dead Lift","137.3","139.0","2025-06-01"," ","","3","100.0","3","110.0","3","126.0"
"7","2","Bench Press","92.0","97.0","2025-06-03"," ","","3","66.0","3","76.0","4","86.0"
"7","2","Squat","124.0","128.0","2025-06-04"," ","","3","90.0","3","100.0","3","116.0"
"7","2","Military Press","62.0","62.0","2025-06-05"," ","","3","46.0","3","50.0","3","56.0"
"7","3","Dead Lift","137.3","154.0","2025-06-08"," ","","5","100.0","3","120.0","3","140.0","1","130.0"
"7","3","Bench Press","92.0","103.0","2025-06-17"," ","","5","70.0","3","78.0","5","88.0"
"7","3","Squat","124.0","126.0","2025-06-18"," ","","5","96.0","3","106.0","2","118.0"
"7","3","Military Press","62.0","66.0","2025-06-20"," ","","5","46.0","3","56.0","3","60.0"
"7","4","Dead Lift","141.3","105.0","2025-06-24"," ","","5","60.0","5","80.0","5","90.0"
"7","4","Bench Press","94.0","70.0","2025-06-26"," ","","5","40.0","5","50.0","5","60.0"
"7","4","Squat","128.0","93.0","2025-06-28"," ","","5","50.0","5","70.0","5","80.0"
"7","4","Military Press","64.0","47.0","2025-06-28"," ","","5","26.0","5","30.0","5","40.0"
"8","1","Dead Lift","141.3","140.0","2025-07-01"," ","","5","96.0","5","106.0","5","120.0"
"8","1","Bench Press","94.0","93.0","2025-07-03"," ","","5","60.0","5","70.0","5","80.0"
